,predicted,actual
914,neutral,neutral
915,neutral,neutral
916,neutral,neutral
917,positive,positive
918,positive,positive
919,positive,positive
920,positive,positive
921,positive,positive
922,positive,positive
923,positive,positive
924,positive,positive
925,neutral,positive
926,positive,positive
927,neutral,neutral
928,neutral,neutral
929,negative,positive
930,negative,positive
931,positive,positive
932,positive,neutral
933,neutral,neutral
934,neutral,neutral
935,positive,positive
936,neutral,positive
937,positive,positive
938,neutral,neutral
939,negative,negative
940,positive,neutral
941,negative,positive
942,neutral,negative
943,neutral,neutral
944,positive,positive
945,negative,negative
946,neutral,neutral
947,neutral,neutral
948,negative,negative
949,neutral,neutral
950,neutral,neutral
951,neutral,neutral
952,negative,negative
953,positive,positive
954,positive,positive
955,negative,positive
956,neutral,neutral
957,neutral,neutral
958,positive,positive
959,neutral,neutral
960,positive,positive
961,negative,positive
962,positive,neutral
963,neutral,positive
964,positive,neutral
965,positive,positive
966,positive,positive
967,neutral,neutral
968,negative,negative
969,negative,negative
970,neutral,neutral
971,negative,positive
972,neutral,neutral
973,neutral,neutral
974,positive,neutral
975,neutral,neutral
976,neutral,positive
977,positive,positive
978,neutral,negative
979,neutral,positive
980,positive,positive
981,positive,positive
982,neutral,neutral
983,positive,positive
984,negative,negative
985,neutral,positive
986,neutral,negative
987,positive,positive
988,negative,negative
989,neutral,neutral
990,positive,positive
991,positive,neutral
992,neutral,neutral
993,positive,positive
994,neutral,positive
995,positive,positive
996,positive,positive
997,neutral,positive
998,neutral,negative
999,positive,positive
1000,positive,positive
1001,negative,negative
1002,positive,positive
1003,neutral,positive
1004,neutral,neutral
1005,neutral,negative
1006,positive,positive
1007,neutral,positive
1008,negative,negative
1009,neutral,positive
1010,positive,positive
1011,positive,positive
1012,negative,positive
1013,positive,neutral
1014,negative,negative
1015,neutral,negative
1016,positive,neutral
1017,positive,positive
1018,neutral,positive
1019,neutral,neutral
1020,neutral,neutral
1021,positive,positive
1022,neutral,positive
1023,positive,positive
1024,neutral,positive
1025,neutral,neutral
1026,neutral,negative
1027,neutral,neutral
1028,neutral,neutral
1029,positive,positive
1030,neutral,neutral
1031,negative,positive
1032,positive,positive
1033,neutral,neutral
1034,negative,positive
1035,neutral,neutral
1036,positive,positive
1037,neutral,neutral
1038,positive,neutral
1039,neutral,neutral
1040,negative,negative
1041,neutral,neutral
1042,positive,positive
1043,neutral,neutral
1044,neutral,neutral
1045,neutral,neutral
1046,neutral,neutral
1047,positive,positive
1048,neutral,positive
1049,negative,negative
1050,neutral,positive
1051,neutral,neutral
1052,negative,negative
1053,neutral,positive
1054,positive,neutral
1055,negative,negative
1056,neutral,neutral
1057,positive,positive
1058,positive,positive
1059,positive,positive
1060,neutral,neutral
1061,neutral,neutral
1062,positive,positive
1063,positive,positive
1064,positive,positive
1065,neutral,neutral
1066,positive,positive
1067,negative,positive
1068,neutral,neutral
1069,positive,positive
1070,neutral,positive
1071,positive,positive
1072,negative,negative
1073,negative,positive
1074,neutral,neutral
1075,neutral,neutral
1076,neutral,neutral
1077,neutral,positive
1078,neutral,negative
1079,neutral,neutral
1080,neutral,positive
1081,positive,positive
1082,neutral,neutral
1083,neutral,positive
1084,positive,positive
1085,positive,positive
1086,neutral,neutral
1087,negative,neutral
1088,negative,negative
1089,positive,positive
1090,neutral,negative
1091,positive,neutral
1092,neutral,neutral
1093,positive,neutral
1094,negative,positive
1095,neutral,neutral
1096,positive,positive
1097,neutral,neutral
1098,neutral,neutral
1099,positive,positive
1100,neutral,neutral
1101,positive,positive
1102,positive,positive
1103,positive,positive
1104,positive,positive
1105,neutral,neutral
1106,negative,neutral
1107,neutral,positive
1108,neutral,neutral
1109,neutral,neutral
1110,neutral,negative
1111,neutral,neutral
1112,neutral,neutral
1113,neutral,neutral
1114,positive,positive
1115,neutral,neutral
1116,neutral,neutral
1117,neutral,neutral
1118,neutral,neutral
1119,positive,positive
1120,neutral,neutral
1121,positive,positive
1122,neutral,neutral
1123,positive,negative
1124,positive,positive
1125,neutral,positive
1126,positive,positive
1127,positive,positive
1128,positive,positive
1129,positive,positive
1130,positive,positive
1131,neutral,positive
1132,positive,neutral
1133,negative,negative
1134,negative,positive
1135,positive,positive
1136,negative,neutral
1137,neutral,neutral
1138,neutral,negative
1139,positive,positive
1140,positive,neutral
1141,negative,positive
1142,neutral,neutral
1143,neutral,neutral
1144,negative,negative
1145,positive,negative
1146,positive,positive
1147,neutral,negative
1148,neutral,positive
1149,negative,positive
1150,neutral,neutral
1151,negative,negative
1152,positive,positive
1153,positive,positive
1154,negative,negative
1155,neutral,neutral
1156,negative,positive
1157,positive,positive
1158,positive,positive
1159,neutral,neutral
1160,positive,positive
1161,positive,neutral
1162,positive,positive
1163,positive,positive
1164,positive,positive
1165,positive,positive
1166,neutral,neutral
1167,neutral,positive
1168,neutral,neutral
1169,neutral,neutral
1170,positive,positive
1171,negative,negative
1172,positive,neutral
1173,neutral,positive
1174,neutral,negative
1175,positive,positive
1176,neutral,neutral
1177,positive,neutral
1178,neutral,positive
1179,positive,positive
1180,positive,neutral
1181,neutral,neutral
1182,neutral,positive
1183,neutral,neutral
1184,positive,positive
1185,neutral,neutral
1186,neutral,neutral
1187,positive,positive
1188,neutral,neutral
1189,neutral,neutral
1190,neutral,positive
1191,negative,negative
1192,positive,positive
1193,neutral,positive
1194,positive,negative
1195,positive,positive
1196,neutral,neutral
1197,neutral,neutral
1198,neutral,neutral
1199,neutral,neutral
1200,neutral,negative
1201,neutral,neutral
1202,positive,positive
1203,neutral,positive
1204,positive,neutral
1205,neutral,neutral
1206,neutral,neutral
1207,positive,positive
1208,neutral,neutral
1209,neutral,negative
1210,neutral,positive
1211,positive,neutral
1212,neutral,positive
1213,neutral,neutral
1214,negative,positive
1215,negative,positive
1216,neutral,negative
1217,positive,positive
1218,neutral,negative
1219,positive,positive
1220,negative,positive
1221,neutral,positive
1222,neutral,positive
1223,neutral,positive
1224,neutral,neutral
1225,negative,negative
1226,negative,negative
1227,positive,positive
1228,neutral,positive
1229,neutral,positive
1230,negative,neutral
1231,neutral,neutral
1232,positive,positive
1233,neutral,neutral
1234,neutral,positive
1235,neutral,positive
1236,neutral,positive
1237,neutral,positive
1238,neutral,positive
1239,positive,positive
1240,negative,neutral
1241,positive,positive
1242,positive,neutral
1243,neutral,positive
1244,positive,positive
1245,positive,positive
1246,positive,positive
1247,positive,neutral
1248,positive,positive
1249,positive,neutral
1250,positive,positive
1251,positive,positive
1252,neutral,negative
1253,neutral,neutral
1254,neutral,neutral
1255,positive,neutral
1256,neutral,neutral
1257,positive,positive
1258,neutral,neutral
1259,positive,neutral
1260,neutral,neutral
1261,neutral,neutral
1262,positive,neutral
1263,positive,positive
1264,negative,neutral
1265,neutral,neutral
1266,positive,positive
1267,positive,positive
1268,neutral,positive
1269,negative,positive
1270,positive,positive
1271,positive,positive
1272,positive,positive
1273,neutral,neutral
1274,positive,positive
1275,positive,neutral
1276,positive,positive
1277,positive,positive
1278,positive,positive
1279,negative,positive
1280,negative,positive
1281,negative,neutral
1282,neutral,neutral
1283,positive,positive
1284,negative,negative
1285,neutral,neutral
1286,neutral,neutral
1287,positive,positive
1288,positive,positive
1289,negative,neutral
1290,positive,neutral
1291,positive,negative
1292,neutral,positive
1293,negative,negative
1294,neutral,neutral
1295,negative,negative
1296,negative,negative
1297,neutral,negative
1298,negative,negative
1299,negative,negative
1300,negative,neutral
1301,neutral,neutral
1302,neutral,negative
1303,neutral,positive
1304,positive,positive
1305,neutral,negative
1306,neutral,positive
1307,positive,neutral
1308,neutral,neutral
1309,negative,positive
1310,negative,negative
1311,negative,negative
1312,neutral,negative
1313,neutral,neutral
1314,positive,neutral
1315,negative,positive
1316,positive,positive
1317,neutral,neutral
1318,neutral,neutral
1319,neutral,neutral
1320,positive,positive
1321,positive,neutral
1322,negative,neutral
1323,negative,positive
1324,positive,positive
1325,neutral,neutral
1326,negative,positive
1327,positive,positive
1328,positive,positive
1329,neutral,neutral
1330,positive,positive
1331,neutral,negative
1332,neutral,negative
1333,negative,negative
1334,neutral,negative
1335,neutral,neutral
1336,neutral,positive
1337,neutral,neutral
1338,positive,positive
1339,positive,positive
1340,positive,neutral
1341,neutral,positive
1342,negative,negative
1343,neutral,neutral
1344,neutral,neutral
1345,positive,negative
1346,negative,neutral
1347,negative,negative
1348,neutral,positive
1349,positive,positive
1350,negative,negative
1351,positive,positive
1352,positive,positive
1353,negative,positive
1354,positive,positive
1355,positive,positive
1356,negative,negative
1357,negative,negative
1358,neutral,positive
1359,neutral,neutral
1360,negative,positive
1361,positive,positive
1362,neutral,negative
1363,negative,negative
1364,positive,positive
1365,positive,positive
1366,positive,positive
1367,neutral,negative
1368,positive,positive
1369,positive,positive
1370,positive,positive
1371,neutral,neutral
1372,neutral,neutral
1373,neutral,negative
1374,neutral,neutral
1375,neutral,positive
1376,positive,positive
1377,neutral,neutral
1378,neutral,neutral
1379,negative,negative
1380,neutral,negative
1381,negative,neutral
1382,neutral,positive
1383,neutral,negative
1384,negative,positive
1385,positive,positive
1386,positive,positive
1387,positive,positive
1388,positive,positive
1389,positive,negative
1390,neutral,neutral
1391,positive,positive
1392,positive,neutral
1393,positive,neutral
1394,negative,negative
1395,negative,negative
1396,positive,positive
1397,neutral,neutral
1398,positive,positive
1399,positive,positive
1400,neutral,neutral
1401,neutral,positive
1402,positive,positive
1403,positive,negative
1404,positive,positive
1405,positive,neutral
1406,positive,negative
1407,positive,positive
1408,neutral,neutral
1409,neutral,neutral
1410,positive,neutral
1411,negative,negative
1412,negative,negative
1413,neutral,positive
1414,negative,negative
1415,neutral,positive
1416,neutral,neutral
1417,positive,positive
1418,neutral,positive
1419,neutral,neutral
1420,negative,positive
1421,neutral,neutral
1422,neutral,neutral
1423,neutral,positive
1424,positive,positive
1425,positive,positive
1426,positive,positive
1427,neutral,negative
1428,neutral,neutral
1429,neutral,positive
1430,positive,positive
1431,positive,positive
1432,negative,neutral
1433,positive,positive
1434,neutral,neutral
1435,negative,negative
1436,positive,positive
1437,neutral,neutral
1438,positive,neutral
1439,neutral,neutral
1440,neutral,positive
1441,neutral,neutral
1442,positive,positive
1443,positive,positive
1444,positive,positive
1445,positive,positive
1446,positive,positive
1447,neutral,neutral
1448,positive,negative
1449,neutral,positive
1450,neutral,positive
1451,neutral,neutral
1452,positive,positive
1453,neutral,neutral
1454,positive,positive
1455,positive,positive
1456,positive,positive
1457,positive,positive
1458,positive,positive
1459,neutral,neutral
1460,neutral,neutral
1461,neutral,neutral
1462,negative,negative
1463,positive,neutral
1464,negative,negative
1465,neutral,positive
1466,positive,positive
1467,positive,neutral
1468,neutral,positive
1469,positive,negative
1470,neutral,neutral
1471,positive,positive
1472,positive,positive
1473,neutral,neutral
1474,negative,negative
1475,neutral,neutral
1476,neutral,positive
1477,positive,positive
1478,neutral,positive
1479,positive,positive
1480,negative,negative
1481,neutral,positive
1482,neutral,negative
1483,neutral,neutral
1484,neutral,neutral
1485,neutral,negative
1486,positive,positive
1487,positive,neutral
1488,positive,positive
1489,negative,positive
1490,negative,negative
1491,positive,neutral
1492,positive,neutral
1493,neutral,neutral
1494,neutral,neutral
1495,neutral,neutral
1496,neutral,neutral
1497,neutral,neutral
1498,negative,negative
1499,positive,positive
1500,neutral,neutral
1501,positive,neutral
1502,positive,positive
1503,neutral,neutral
1504,neutral,positive
1505,negative,positive
1506,neutral,neutral
1507,positive,positive
1508,positive,positive
1509,positive,positive
1510,positive,positive
1511,positive,neutral
1512,neutral,neutral
1513,negative,neutral
1514,neutral,neutral
1515,positive,positive
1516,neutral,neutral
1517,positive,positive
1518,neutral,negative
1519,negative,negative
1520,neutral,positive
1521,neutral,neutral
