,tweet_created_at,tweet_full_text,sentiment,probability
22,Fri Sep 07 16:21:55 +0000 2018,You are never too broke to shop your favourite fashion brands when they are at #Discounts365days #JustDoIt https://t.co/hwlxCLesVg,neutral,0.6112286451201423
23,Fri Sep 07 16:21:54 +0000 2018,My kinda Lady ... #Justdoit #Nike !!! https://t.co/GIFmg85rAm,positive,0.592292743408618
24,Fri Sep 07 16:21:41 +0000 2018,Dream Big &amp; #Justdoit! https://t.co/Vr4GIyGsoj,positive,0.7145107015361937
25,Fri Sep 07 16:21:39 +0000 2018,"Hey!!!! go check this video out !!! It’s a lot of fun and cute #newyoutubers 
#relationshipgoals 
#JustDoIt. Just click the link and subscribe 🧡
https://t.co/W7JhYpHtXL https://t.co/ltUmnsCxxZ",positive,0.7168050065793168
26,Fri Sep 07 16:21:28 +0000 2018,Nike got $43 million of free press in the 24 hours after #JustDoIt campaign. It pays to put your balls on the line.,neutral,0.6159473084005714
27,Fri Sep 07 16:21:25 +0000 2018,"@realDonaldTrump They were thinking - “let’s use this talented football star, who’s been blackballed by asshole NFL owners, to take a stand and optimize our ad’s reach with minimal dollars”. A genius move by Nike! Free publicity is a marketers dream! #NikeStrong #JustDoIt #TeamNike #ImWithKap",negative,0.5807770246214898
28,Fri Sep 07 16:21:12 +0000 2018,YOU STOLE MY GODDAMN HOUSE #justdoit #juststealit @Bravotv @BravoWWHL @ParisHilton https://t.co/8xShKr0SYq,neutral,0.611924878990489
29,Fri Sep 07 16:21:09 +0000 2018,Don't skip leg day y'all #legday #justdoit #flexfriday #berkhansays https://t.co/6o3ktraCCu,neutral,0.6416667555206842
30,Fri Sep 07 16:21:03 +0000 2018,"""Believe in something. Even if it means sacrificing everything.""

Nike has chosen bold words for their #JustDoIt campaign. But what exactly does sacrifice mean to a multi-billion dollar corporation?

Branded revolution: ✔️

https://t.co/QIZex684w6",neutral,0.6054522071311336
31,Fri Sep 07 16:20:57 +0000 2018,Why yall do Tayson like dat #JustDoIt #nike #photooftheday #internewins #Mike_Tyson #Tyson https://t.co/dWopqtjitM,neutral,0.6134357501440671
32,Fri Sep 07 16:20:43 +0000 2018,"#MissAmerica #FlashbackFriday #JobsReport Nike #GOT7 #JustDoIt FEMA #campaigns #TV3GH
SpiderMan #KaepernickNikeAd #slaveryremembranceday #MudaSuksesMenang 
#FridayFeeling #NationalBeerLoversDay I Love It
#eminemvsmgk #Nas vs #Kelis Kanye #INDRAKETUJUHEPS38
https://t.co/sVDCOXDBJP",positive,0.8660611464377189
33,Fri Sep 07 16:20:28 +0000 2018,@Nike is the only shoe I'll train in. I'm wearing the Nike Bruins from Back to the Future for my wedding. Hell yeah Nike. #JustDoIt,positive,0.6093508314117049
34,Fri Sep 07 16:20:15 +0000 2018,"The @elonmusk Mindset

#JustDoIt https://t.co/2wq93hJjxy",neutral,0.7232597940771188
35,Fri Sep 07 16:20:08 +0000 2018,"@tgirlmiller @realDonaldTrump Donating my #Nike  all in great coditions, many barely worn to homeless veterans and buying new ones for my self.
#JustDoIt https://t.co/EVH7Frnlwm",positive,0.7418163260703584
36,Fri Sep 07 16:20:01 +0000 2018,@nerdygirl007 @1DentalHyGenius @IntelisexXx @NuttyTrump @CokerRory @benFranklin2018 Yes!!! Do it!! #JustDoIt,positive,0.6020372655250048
37,Fri Sep 07 16:19:57 +0000 2018,@realDonaldTrump It’s clear why you &amp; Kim “respect” each other so much...#DonaldLovesDictators  #TakeAKnee #ColinKaepernick #Nike #JustDoIt #FightFascism https://t.co/ZYjB3DcSxI,negative,0.5795462753131586
38,Fri Sep 07 16:19:49 +0000 2018,Just do it. #nike #meme #justdoit #justtryit #cafecitoenergy #energy https://t.co/b67YtvoraG,neutral,0.5982207272501917
39,Fri Sep 07 16:19:31 +0000 2018,"#JustDoIt … another potential spokesperson for #Nike
Former Cowboys RB Joseph Randle arrested, charged with rape https://t.co/XmW482KIUb",neutral,0.6312042117164951
40,Fri Sep 07 16:19:21 +0000 2018,"Just left the @Nike store #greatlakescrossing  I don't even like Nike like that... BUT it's for the culture. Yall take care of Rena and Kap..I'll support you.

#Fortheculture
#Nike
#Justdoit
#bringit https://t.co/Ns6snxuann",negative,0.5800307849039759
41,Fri Sep 07 16:18:54 +0000 2018,#BOOM #MannCup2018 READY!! 7 hours @satolax22 #justDOIT!! #WestCoastBestCoast @CurtisDickson17 #FLYYYY! https://t.co/FRul00IsBq,neutral,0.7019089751165152
42,Fri Sep 07 16:18:35 +0000 2018,"#Lebron16: Look at those eyes...

#LeBron #Nike #JustDoIt https://t.co/WNvn4qzhQt",neutral,0.636940396838573
43,Fri Sep 07 16:18:29 +0000 2018,So with the Sun and new moon in Virgo this Sunday- I’m commencing an exercise regimen to compliment my dietary regimen. #goals #JustDoIt https://t.co/uJrYrrSdTl,neutral,0.6457013398117676
44,Fri Sep 07 16:18:24 +0000 2018,Mr #IQ45 alone with #MitchMcConnell @SenateMajLdr #GOP meeting to see how they can destroy #presObama @Niki #Kaepernick #JustDoIt,neutral,0.5875928480220283
45,Fri Sep 07 16:18:14 +0000 2018,"@Nike world is yours - the world is flat,  Kyrie ,LeBron and I have your back. Do I have your back? I’ve known you since grade school. I can’t believe this even rhymes I’m a fool .   @KingJames #LeBron #lebronjames #nike #kyrie #kapernick #justdoit #sneaker",negative,0.6587314791293981
46,Fri Sep 07 16:18:11 +0000 2018,@realDonaldTrump I got new @Nike running shoes this week. #JustDoIt #JustDoIt #StandForSomething #TakeTheKnee,positive,0.6064264584227578
47,Fri Sep 07 16:17:51 +0000 2018,"Pure Gold!
From Larry Elder
(Overheard, II)

I returned a pair of Nike shoes yesterday for a refund, and the clerk asked me what was wrong with them. I told her they hurt my feet when I stood up for the national anthem.

#JustDoIt #ISTANDFORAMERICA",negative,0.6116057013689854
48,Fri Sep 07 16:17:50 +0000 2018,"If you work hard, limitless and focus on your goals and respecting each other... the only thing you will have, is the success.
#JustDoIt https://t.co/ARRxcgQim9",neutral,0.5941732289024382
49,Fri Sep 07 16:17:46 +0000 2018,"New season of #ESG Notes kicks off today. Today, ESG Note S2E1:  Nike Blows Our Minds, Inequality Is Hot, Exit Theranos, Ocean Bonds, @GuyCallendar. #investment #strategy #sustainability #impinv #susty #SDGs #JustDoIt #Theranos #TheLongSwim #FridayReads https://t.co/TcVVrBsLrn",positive,0.6173763537524637
50,Fri Sep 07 16:17:43 +0000 2018,"Invest in #Mojo50?

#JustDoIt 

@DocThompsonShow 
@realBradStaggs 
@foodbizpro",neutral,0.6514724723559651
51,Fri Sep 07 16:17:07 +0000 2018,"If you don’t express to me that you wish to be buried after your death, best believe you’re getting cremated and launch out of a shoulder fired rocket launcher. #LoveIsLove #Justdoit #ShowerThoughts",negative,0.6267435189674596
52,Fri Sep 07 16:17:06 +0000 2018,@Nike  you gotta get these made! #JustDoIt https://t.co/LiDtQx0Xt2,neutral,0.6439161662336298
53,Fri Sep 07 16:16:58 +0000 2018,Don’t ask if your dreams are crazy. Ask if they’re crazy enough.!!#justdoit,negative,0.5845518708747569
54,Fri Sep 07 16:16:53 +0000 2018,"Create Your Own Nike Just Do It Colin Kaepernick Meme With This Free Template: https://t.co/h9SZP6dUKB

#Nike #ColinKaepernick #JustDoIt https://t.co/rIqRybre1A",positive,0.6184820253462145
55,Fri Sep 07 16:16:46 +0000 2018,#Justdoit Vote our &amp; oust McGovern!,neutral,0.5949959084416636
56,Fri Sep 07 16:16:40 +0000 2018,This is why Colin kneels.  We all should kneel. You can't even ride in a car with your grandmother looking as timid as Urkel without getting profiled by police as a criminal. You can hear the despair in his voice. #ImwithKap. #Justdoit https://t.co/pFxaXOE9UM,negative,0.698088854726615
57,Fri Sep 07 16:15:43 +0000 2018,Sounds like a plan! #JustDoIt #FirstAmendment https://t.co/ULAA6K0Tgu,neutral,0.632553738321334
58,Fri Sep 07 16:15:28 +0000 2018,"#JustDoIt: Nike took a knee for Kaepernick, outrage ensues. Were you surprised? https://t.co/e7ab3oVkHX https://t.co/yhFHvgNSog",neutral,0.6314039158759275
59,Fri Sep 07 16:15:14 +0000 2018,"@realDonaldTrump Just Do It!!
#trumpTrash
 #JustDoIt 
#Nike
#NFL
#NikeKap https://t.co/GQ7YwcVhur",positive,0.6086702835255465
60,Fri Sep 07 16:15:12 +0000 2018,just doin it on a friyay @nike #believeinsomething #colinkaepernick #justdoit #friyay @ Nike NYHQ https://t.co/v0bmxyq8RI,neutral,0.6268662153852707
61,Fri Sep 07 16:15:08 +0000 2018,"Check Me Out! September 10th on Facebook Live 8 am sharp.

""#justdoit""

See https://t.co/cKpdrrRzTJ for my freebie

""Four Easy Techniques to Keep You Calm as a Nurse""

Thanks! https://t.co/iNlExWzYav",positive,0.6470691382734405
62,Fri Sep 07 16:14:59 +0000 2018,What ever you feel like doing it #JustDoIt✔ https://t.co/SOoFxtB778,positive,0.5867156847967421
63,Fri Sep 07 16:14:59 +0000 2018,It saved me it can save you too #JUSTDOIT 🌚🐾‼️ https://t.co/NYIuOqktj3,positive,0.6116034923876267
64,Fri Sep 07 16:14:50 +0000 2018,@washingtonpost Thank you #Kap #JustDoIt #Nike We are UNITED and will NOT allow DJT to divide US! #BlueWave2018,positive,0.6583887873870066
65,Fri Sep 07 16:14:47 +0000 2018,@Kaepernick7 @Nike and @Kaepernick7 are on the right side of history #LOVE_YOURSELF #BelieveInYourself #JustDoIt #EqualityforAll #CompassionforAll,neutral,0.6092221767863204
66,Fri Sep 07 16:14:44 +0000 2018,Friday Mood #JustDoIt https://t.co/D1b8qb3m5y,neutral,0.6968116117471761
67,Fri Sep 07 16:14:37 +0000 2018,"@realDonaldTrump God bless President Trump! 👍👍🇺🇸🇺🇸🇺🇸🇺🇸🇺🇸🇺🇸🇺🇸🇺🇸
#justdoIt #JustDontDoIt #Trump2020 #RedWave https://t.co/RtqWsqflI5",positive,0.6154351075587067
68,Fri Sep 07 16:14:37 +0000 2018,"| Just Do It!✔️ - @nike |
#JustDoIt #Nike #Meme #Jesus #Viral #Marketing #NBC #CNN #ColinKaepernick #Kaepernick #NikeJustDoIT #Football #Believe #Listen #NikeShoes #BelieveInSomething… https://t.co/A8PqKSakxL",neutral,0.6393433497664898
69,Fri Sep 07 16:14:31 +0000 2018,And they are using the their platform to draw media attention and awareness to the issue. Nike knows who their customers are.  #JustDoIt #Nike https://t.co/2ehv8QuO8p,neutral,0.6292927527768827
70,Fri Sep 07 16:14:31 +0000 2018,"@JWKeady @Kaepernick7 @KillerMike @tmorello #Nike #JustDoIt #TakeAKnee 
I'll say it again; he makes me glad my service was not simply to an empire. He shows me that at least one American is ethically free &amp; morally courageous enough to protest #injustice, as our forefathers once did. The rest of you seem to have forgotten;",negative,0.8025672624272868
71,Fri Sep 07 16:14:28 +0000 2018,"Believe in ThrillBill. Even if it means sacrificing other plans.
.
.
.
#nike #justdoit #justthrillbill #djthrillbill #704 #charLIT #thecoolestdjintheworld #😎 #thrillbillionaires #qcdjs… https://t.co/ZvoQ85CU08",neutral,0.5952995982891089
72,Fri Sep 07 16:14:25 +0000 2018,Those three words made all the difference. #JustDoIt https://t.co/CCrqAeINql,neutral,0.6222485572091272
73,Fri Sep 07 16:13:54 +0000 2018,"This is a great reminder that things may come to those that wait and they will be things left over by those that hustle. 
Less “into thought” more “into action”.  
#justdoit https://t.co/FMn00Vpmfh",positive,0.6435762956957554
74,Fri Sep 07 16:13:53 +0000 2018,You knew it was coming #justdoit #hehe #michaeljackson #heheintothewind https://t.co/KrnoBniTOo,positive,0.6265841826092236
75,Fri Sep 07 16:13:50 +0000 2018,@Nike is aligning itself with the core values of our younger generation and celebrating athletes beyond their sport. BELIEVE IN SOMETHING. #thoughtwear #justdoit #diplomacy https://t.co/mP9M64pqvm,neutral,0.6145646782226996
76,Fri Sep 07 16:13:38 +0000 2018,"You’ve gotta WORK to make things WORK.

#JustDoIt",neutral,0.6486775180916928
77,Fri Sep 07 16:13:24 +0000 2018,Looking at the journey ahead...I will need to keep watching this😰 #JustDoIt https://t.co/inTQ4fgIdd,neutral,0.6484382930636682
78,Fri Sep 07 16:13:23 +0000 2018,"""So don't ask if your dreams are crazy, ask if your dreams are crazy enough."" #nike #ad #justdoit #crazyenough #believeinsomething
https://t.co/mQgvO8urfA",negative,0.5781986292257071
79,Fri Sep 07 16:13:15 +0000 2018,"@madriannorman .@Nike
@Kaepernick7 is to #Nike like A Fly is to Shit.
#JustDoIt",negative,0.6780375116600378
80,Fri Sep 07 16:13:10 +0000 2018,"We out here..... Nike Sunday!!!!! #justdoit @ Tanger Outlets, Grand Rapids https://t.co/1C7Ipsyswg",neutral,0.624409374369627
81,Fri Sep 07 16:12:59 +0000 2018,"Owned Yet, Libs? https://t.co/D7I86zTfL7 #Nike #JustDoIt",neutral,0.6772988270461813
82,Fri Sep 07 16:12:59 +0000 2018,"Stand for something. Even if it means sacrifasing everything. 

#JustDoIt https://t.co/xpZz5XSA1z",negative,0.5843124134689802
83,Fri Sep 07 16:12:59 +0000 2018,Now this is what we’re talkin’ about! #MAGA #QAnon #JustDoIt #JustBlewIt #TheRainMakers @POTUS #FridayFeeIing https://t.co/QXriULydFg,neutral,0.6039541777017983
84,Fri Sep 07 16:12:53 +0000 2018,@TsMadisonatl1 @PrimeVideo @MsIsisKing @Ariscestocrat @FishTankSeries Run Maddie Run...trackstar 🏃🏾‍♀️ #JustDoIt,neutral,0.616343182457788
85,Fri Sep 07 16:12:12 +0000 2018,#SplendidLoves Nike's 30th Anniversary #JustDoIt ad campaign with Colin Kaepernick https://t.co/1prGB5HjUh,neutral,0.6470196338084092
86,Fri Sep 07 16:12:10 +0000 2018,It’s possible to be critical of Nike not paying its workers decent wages AND appreciate Nike’s ad featuring Karpernick. #JustDoIt,negative,0.625548732948129
87,Fri Sep 07 16:12:07 +0000 2018,"Slave owners and private prisons have used black men and women as a political and financial piece for gain

But people are mad that nike is putting money in Kaepernick's pockets giving a world platform for a message of racial injustice?
#nike #JustDoIt #Kaepernick #TakeAKnee",negative,0.6541680718446851
88,Fri Sep 07 16:12:06 +0000 2018,This is fucked up lol #nike #colinkaepernick #kaepernick #america #nfl #justdoit #justdoit✔️#steviewonder https://t.co/6pbTchCKWd,negative,0.7619484346391882
89,Fri Sep 07 16:12:06 +0000 2018,Nike took a calculated risk. And won. #advertising #justdoit #nike https://t.co/1TGuPn9EAQ,neutral,0.6115914919518787
90,Fri Sep 07 16:12:03 +0000 2018,"Just Did It! 
#justdoit #nike #collinkaepernick #blackpower #thugpun https://t.co/MPrzoGVc5W",neutral,0.6039960022114095
91,Fri Sep 07 16:12:00 +0000 2018,No one is safe @kobebryant 😂😂 #JustDoIt https://t.co/W1A5J84i4n,neutral,0.593458856866375
92,Fri Sep 07 16:11:44 +0000 2018,@realDonaldTrump NIKE WAS PISSING YOU OFF.... AND IT WORKED!!!! AHAHAHAHAHAHAAHA #JUSTDOIT ✔️✔️✔️✔️✔️✔️✔️✔️✔️✔️ https://t.co/LwfWOu1Bds,negative,0.6097540979441696
93,Fri Sep 07 16:11:36 +0000 2018,Just to get you hyped for the weekend! #justdoit Nike: Juntas Imparables - Just Do It https://t.co/PxLs2wpnZL,positive,0.6045773166482035
94,Fri Sep 07 16:11:32 +0000 2018,@beerscouts @LindseyGrahamSC @SenatorCollins @JeffFlake @marcorubio @SenSasse @SenatorIsakson @sendavidperdue @senrobportman @SenBobCorker @lisamurkowski @RepErikPaulsen @SenatorLankford @SenatorBurr @BillCassidy @SenPatRoberts They should #justdoit,neutral,0.6211006155140943
95,Fri Sep 07 16:11:32 +0000 2018,"its Natives killed
Got you singin' this star-spangled spiel
To a piece of cloth that represents the ""Land of the Free"" that made people slaves to build #eminem #revival #nike #ColinKaepernick #JustDoIt #iStandWithKaep",negative,0.5973026170112052
96,Fri Sep 07 16:11:30 +0000 2018,.@TMZ (of all places) analyzed @Nike customer demographic #JustDoIt https://t.co/tx7F99W2qC,positive,0.6144980431915205
97,Fri Sep 07 16:11:28 +0000 2018,"@nikestore love my nikes
#JUSTDOIT https://t.co/DNw0ZI3hiP",positive,0.8593844437940795
98,Fri Sep 07 16:11:26 +0000 2018,"""Don't ask if your dreams are crazy, ask if you're crazy enough to bring them into reality.""
#JustDoIt https://t.co/KDAC7wXFWk",negative,0.5952507916915216
99,Fri Sep 07 16:11:16 +0000 2018,All Protest Do Not Lead to Progess... When You Protest Alone &amp; Willing to Stand Strong as One For All; Your Efforts Will Continue To Rise When People want to see You Fall! #History #Kapernick #JustDoIt @Nike @nikefootball @OWNTV @TheEllenShow @BETNews #BeYou #livelaughlove #Smile https://t.co/ehJN5nF0Om,negative,0.579932498484126
100,Fri Sep 07 16:11:15 +0000 2018,Who wouldn't want Watson on their team! Imagine having that competitive edge in the business world. Watson on your team = a lot more GREEN. #JustDoIt #MoreMoney #LessProblems #AI #Watson https://t.co/rujJnkEV7r,neutral,0.6157454634419266
101,Fri Sep 07 16:11:13 +0000 2018,@nike My new dry for golf shorts have FULL POCKETS in front and back! #Iaminlove #nike.com  #ColinKaepernick #JustDoIt #NikeBoycott #NikeAd #nike,neutral,0.6078157215314377
102,Fri Sep 07 16:10:41 +0000 2018,@RealJamesWoods The #ThinBlueLine is far more important than the asinine Don't #JustDoIt campaign.,negative,0.6185480908192538
103,Fri Sep 07 16:10:30 +0000 2018,"@realDonaldTrump I met a new friend in the park this morning. What a great way to meet good people...wearing your Nike gear! Thanks, @Nike @nikestore #JustDoIt #TakeAKnee https://t.co/d9X79Br6KS",positive,0.9570667345272105
104,Fri Sep 07 16:10:26 +0000 2018,"@CoryBooker Sen. Booker, I know you may not read this because your Twitter I’m sure blows up all the time. But it’s because of men and women like you that continue to give Americans hope. Never give up the fight, you are fighting for millions of people #justdoit",negative,0.7234009320708074
105,Fri Sep 07 16:10:19 +0000 2018,Listen as BP and Reese discuss the #Nike x #ColinKaepernick #justdoit campaign. Can commerce and activism coexist? https://t.co/U09dd0xaYQ,neutral,0.655708063680735
106,Fri Sep 07 16:10:16 +0000 2018,"This week, while Nike was using money earned from slave labor to pay whiny athletes supposedly protesting ""social justice...""

...Kim Kardashian had ANOTHER White House meeting in an effort to enact policy changes in criminal justice. 

See the difference?

#justdoit",neutral,0.6041639888578934
107,Fri Sep 07 16:10:10 +0000 2018,"School shooting? Thoughts and prayers.

Oh, but a protesting brown guy…

#Nike #JustDoIt https://t.co/mrrTaHQzVX",neutral,0.5884683816879299
108,Fri Sep 07 16:10:04 +0000 2018,Exactly! #justdoit https://t.co/554DGG9K7x,neutral,0.6955696633219787
109,Fri Sep 07 16:10:02 +0000 2018,"You can’t figure out the next step until you take this one.  A Valenciaism to live by. 🤔😉
#JustDoIt #Motivation #FridayMotivation #FridayFeeling #BlessedNotStressed",neutral,0.6012502822379464
110,Fri Sep 07 16:10:02 +0000 2018,Basically. #JustDoIt. #Nike https://t.co/13vGiZQmni,neutral,0.6944233615782888
111,Fri Sep 07 16:09:31 +0000 2018,I love this! Thank you @Nike and @Kaepernick7 #JustDoIt https://t.co/ZqZtIIBbaX,positive,0.988279479192125
112,Fri Sep 07 16:09:28 +0000 2018,@HiMyNameIsSeton I want them to run ad on Fox and friends and Hannity to watch president shit himself. #JustDoIt #Nike,negative,0.5792816034101945
113,Fri Sep 07 16:09:28 +0000 2018,I love how everyone has made themselves apart of the latest Nike campaign. #JustDoIt,positive,0.748053160187972
114,Fri Sep 07 16:09:21 +0000 2018,Great morning BELLievers... Give them something to talk about today. Your standard should inspire zeal not comfort... #Nike #justdoit #gains #fitness #bodybuilding #Friday #health… https://t.co/bmpT1WVzVV,positive,0.6211307716166091
115,Fri Sep 07 16:09:18 +0000 2018,Imma just leave this here #nike #JustDoIt https://t.co/UbMkEjHqmn,neutral,0.6208247334090149
116,Fri Sep 07 16:09:04 +0000 2018,"In tears, these responses are GOLD! #JustDoIt  https://t.co/GjVNJRn6wS",neutral,0.6451920956180464
117,Fri Sep 07 16:08:57 +0000 2018,"@KarltonLondon, how do you make pictures with #Justdoit",neutral,0.6644747457118454
118,Fri Sep 07 16:08:56 +0000 2018,"@realDonaldTrump Nike,like all of us,has freedom to express our own beliefs.They #JustDoIt is Democracy. Like the Many ventures in life, we take-chances,some for gain, and others for principle. It was a chance they were willing to take, and they shouldn’t be chastised. 
We reap what we sow.",positive,0.58241814804265
119,Fri Sep 07 16:08:53 +0000 2018,Well they aren’t monarchs but they sure are grass stained #JustDoIt https://t.co/FwAFqFhVXc,neutral,0.5945932314738108
120,Fri Sep 07 16:08:32 +0000 2018,"Sending a major shout out to all of our friends at @WiedenKennedy &amp; @parkpictures for their work on the powerful new #DreamCrazy campaign for @Nike feat @Kaepernick7.

The spot showcases the power of filmmaking &amp; advertising and the tremendous impact we can all make.  #JustDoIt https://t.co/vul5hFionw",positive,0.6666035703765248
121,Fri Sep 07 16:08:11 +0000 2018,"But hey, keep on burning those shoes! Y'all's loss is Nike's gain! 🤣https://t.co/KFOG4iDsJj   #JustDoIt",neutral,0.5815672388712637
122,Fri Sep 07 16:08:00 +0000 2018,"@realDonaldTrump Keep on saying negative stuff about #nike , because you’re pushing their stock back up. Continue to #justdoit and the stock will surpass it’s all time high!",negative,0.5987029825066891
123,Fri Sep 07 16:07:47 +0000 2018,@DanielleLuv00 Make sure they Nike 😂 #justdoit ✔️,neutral,0.5958352052877348
124,Fri Sep 07 16:07:41 +0000 2018,Just a reminder that if you’re heading out to Corinth tonight for football consider coming to watch girls hockey take on the Tomahawks at 4:15 with a JV game following. The game will take place behind the Corinth Elementary School. Hope to see you there!! #justdoit,positive,0.6618727910982452
125,Fri Sep 07 16:07:31 +0000 2018,@Kaepernick7 I salute #justdoit and to those human beings burning their #bikes that they already paid for - why couldn’t they all just donate those shoes to those that don’t even know what a shoe is? #burnyournike is the most ridiculous movement ever for 2018.,negative,0.6573720435606858
126,Fri Sep 07 16:07:21 +0000 2018,"Just ended a 30 year friendship with a Caucasian acquaintance because she's tired of hearing about Nike ads, race and Black people's protests for equality. Her solution? Cross-burnings and lynchings of Black men. 
This is where we are in 2018...

#JustDoIt https://t.co/5x9kjZPDza",negative,0.7228877641596931
127,Fri Sep 07 16:07:16 +0000 2018,".@KimOlson4TxAg, our Dem candidate for Texas Commissioner of Agriculture-
""Believe in something, even if it means being the only Democrat in the neighborhood."" #JustVote #JustDoIt #UniteBlue #VoteBlue #GOTV #TurnTexasBlue #FlipTxBlue #TheResistance https://t.co/4IcNsATo40",neutral,0.5883666290707493
128,Fri Sep 07 16:07:11 +0000 2018,"Don’t ask if you’re dreams are crazy, ask if they’re crazy enough #justdoit",negative,0.5960762059447856
