,text,sentiment
13562,look like andi the android may have had a littl too much fun yesterday url,positive
4215,user_ment ooh nice ti tempt to go up the lake with my nikon hmm i may do that,positive
11076,black friday huge save aerial view of a pari la the la vega la url,neutral
15637,ye we all know indio vs cv is tomorrow the bell game it enough,positive
8110,user_ment user_ment user_ment jenel she said she wa alon hosp.now say how weird it wa for,negative
9953,user_ment lmfao hi big ass get on my you go to class tomorrow,negative
934,user_ment go to hong kong dure that time and mama is on nov i want to see them live,positive
1783,happi mr presid nick j forev off the chain,positive
10960,dream high suck compar to the one,negative
14843,moham muslim brotherhood instruct the suprem council of the arm forc thursday url,neutral
13653,avila you just got tag out by a guy who look like the kid bill murray wa research in the royal tenenbaum tiger,neutral
15653,user_ment you think the boro will beat swansea not so is when we implod,negative
4349,at the first grammi held on may domenico modugno beat out frank sinatra and peggi lee for the record of the volar,neutral
13613,happi birthday vow the anniversari,positive
3797,user_ment i have studi all day but tomorrow go out with friend d omg jennett did gonna look emo_po,positive
1839,good morn thursday is fragil not guarante a tomorrow so give it everyth tim cook it for,positive
8865,twitit mcfli come back to argentina but thi time we want to come to mar del plata url,positive
11252,user_ment anyth i wonder how the aspect btwn my fair with my rise i also have venu in sag yea lol thank u emo_po,positive
15380,my teacher call themselv givng us candi even the good stuff i might go to walmart or cv,negative
15019,bronco peyton man name afc offens player of the month hi such second to tom tie td,neutral
6175,user_ment is bring out kendrick lamar the of decemb get your ticket now,neutral
9507,user_ment i may have an android phone by the time i get back to school emo_po,positive
533,wigan warn coy offici site wigan might current occupi place in the premier url,neutral
2682,user_ment tryst tonight best parti in la vega,positive
11559,what if it rain we care she said that someday soon the sun wa gonna shine and she wa right thi love of mine my valentin,positive
8389,user_ment user_ment royal rumbl tomorrow my hous assembl the crew were gettin real thi time haahaha,positive
5165,user_ment strang go to see noel gallagh in concert tomorrow night alldayb1tch,neutral
1769,when my professor pass out candi and say veri small amount of that may be from valentin just so you,neutral
982,how are they go to act in new york with the subway out they better clutch it out like eli man quarter,neutral
14341,homegrown talent miss on sign day throughout most of the day on the video scoreboard url raleigh,negative
2399,taylor swift is come with ed sheeran june most perf news heard all night,positive
6479,the great noel gallagh is about to hit the stage in st paul plenti of room here so row center plenti of room pretti fire up,positive
9569,love to go for a pint with jim white off think he may have a bit about him,positive
2376,user_ment there are go to be plenti of up down for etc until may.i hope we are still in with a shout for promo,neutral
13353,user_ment that amazon might have some left hate that i have it until on tuesday though,negative
9961,happi sunday last off sadat befor back to work enjoy it tweep now to do yard work for a coupl hour then some fun,positive
4419,play as the brown hc k fri in xfacalac lost to the raven on allmadden connectedcar,neutral
1108,cfc user_ment is the best of the premier leagu hi overal ea sport player perform index score place matamag,positive
11148,user_ment noo rosann just restock them and me go oversea sunday mean i afford them,negative
1738,the pain is far deeper than a billi cundiff miss field goal gotta wake up and forget about it tomorrow oriol stayhungri,neutral
12630,user_ment on novemb be readi to head to the movi break dawn part emo_po,positive
5080,after see user_ment tweet about watch the i think i may need to watch it,neutral
8207,tomorrow shall consist of watch will ferrel film with my fave peopl and chines sweet,positive
7212,yeah you know just sit around by myself listen to avril typic friday night,neutral
9333,user_ment user_ment the closest sourc btwn fan team btw heard card may sign billi cundiff ani truth snarklif,neutral
46,user_ment and the same station that will air new episod of cougar town in januari user_ment ha been good to jordan pennycan,positive
3547,alex poythress had point and rebound in hi debut with kentucki dure an exhibit game on thursday he play minut,neutral
1846,i think i may have a heart attack for jason new collect so charlott rampl in the night url,positive
10715,if i can get my equip work correctli we will have a live show on friday at pm cst with contacte ray url,neutral
6223,amaz concert tonight with jim white and the tcu jazz jazz combo miss tomorrow night url,positive
6228,nation inning had that quarter it coulda swore i saw cundiff shank one from the mound,neutral
1272,whi would you still wear short when thi cold i love how britain a bit of sun and like,positive
3999,user_ment you mention on monday that you would be releas colorado and nevada number on wednesday were those poll abandon,neutral
3494,capello say time for russia to win big match russia manag fabio capello on thursday said that he intend to url,positive
10745,jackal goal jimmi martin sneak a rebound past killeen to give elmira a lead bushe bellami with the left period,neutral
13377,kickoff your weekend with servic get on the bu trip to the boy girl club is friday from hope to see you there emo_po,positive
3943,user_ment lmfao alright u got me there good job parker and the see jan if i get an extra ticket to that game ur goin,positive
11276,desper day februari the most well known day in all men life,negative
14745,user_ment we have a similar circumst in australia jan is australia day mani first peopl call it invas day,neutral
2625,pauland5homo harri and loui are just fri eleanor is such an inspira harri is such a manwho loui is url,neutral
6709,web appl retail chief out in overhaul san francisco reuter appl inc ceo tim cook on monday replac the head of,neutral
13271,you two may fight like cat and but complet head over heel for each other you two are like alli and noah in the notebook,positive
10555,damn next saturday nigga wa trynna get shit over with earli,negative
1591,and the one is for harri style emo_po,neutral
5063,thi guy so much like bruno crazi he may be hi long lost twin,neutral
1739,blog post mom return for an intens third season with kailyn and leah on url,neutral
3848,the busi award ceremoni will be held dure the user_ment annual meet in davo on the januari url,neutral
1454,user_ment hi elif greet from usa midwest how is school go happi turkish republ day i wait for nov newgle ye,positive
5184,hope to look fit tomorrow on the jeremi kyle show itvfashion,positive
5062,user_ment me you and joe gone chill saturday of i come tho,neutral
6749,fail he divid us by wealth latino governor vote earli for predict gop,negative
15850,grammi concert pay move tribut to whitney houston whitney houston wa given a final sendoff by the grammi on thursday as hall,positive
518,call all call on night is the night u guy will i repeat will shine for the presid let go,neutral
4571,we talli up the vote and are announc the winner for call all commun tune in url on nov at cst,neutral
11545,radio rock next week start off with a live loung on user_ment show with bullet for my valentin on monday,neutral
25,drew peterson is untouch no more check out these movi photo befor you watch on sun at url,positive
2107,user_ment im just a year old still on loan for the time at coventri overal hope when i return bale will still be ther,neutral
13458,halloween may be the second worst right after day,negative
9405,pump to open the season tomorrow night against georgetown preview url preview url,positive
7929,just found a piec of candi that may have been inject with someth whi,negative
14300,appl shakeup mobil softwar boss eas out appl inc ceo tim cook on monday push out the power head of the mo,neutral
13731,somehow i manag to my princess leia bra on saturday go to noel gallagh as at ie user_ment,neutral
8308,user_ment i may relent and get one but i hope it come to that hope all the decent app will get port to android,neutral
5052,android camera app with photo sphere now avail for galaxi nexu introduc on android bring url,neutral
5940,saeed nowplay ricki martin and kt tunstal great song to get you through your sunday hate the rain url,positive
5160,user_ment user_ment user_ment just eat greek food with a pumpkin just anoth wednesday,neutral
4207,are you readi to shop the new collect from tomorrow the grey concept from url fashion shop highstreet,neutral
15831,faq what is and the execut shakeup at appl san ca march appl ceo url,neutral
2909,fact of the day halloween night is papa second busiest night of the year behind super bowl sunday,neutral
609,user_ment no one can hold a candl to queen coco if still do show in august for my wed we have to go,positive
15845,omg ricki martin may be gay but he is one fine ass gay man,positive
5862,user_ment the clipper are play the cavali on monday and are have a night to honor israel emo_po wish you were in la still,positive
13037,on the bright side chocol day getexcit,positive
14543,um i just learn that sunday is nation chocol day total take advantag of that,positive
15659,to all see you on dec axl rose user_ment user_ment user_ment teaser biar gak kecewa url,neutral
7348,noel gallagh are fuck brian may an idiot an idiot who just so happen to be a professor,negative
2562,vow is like to return from a midsumm break in the prix de royallieu at longchamp on saturday url,neutral
11105,user_ment hell yea lmfaoo see you tomorrow asia babi emo_po,positive
1288,user_ment i want you to know that here in argentina is go to make a direction fest novemb te amo te amo te amo,neutral
5333,it novemb alreadi christma will be here then new then day then graduat,neutral
12683,nowplay michael jackson out of my life live at wembley juli url l.o.v. it mjtune,positive
8276,nigga be on the laker dick we still gon finish damn near first seed while yo team be struggl for the spot,negative
10097,user_ment user_ment octob peopl have principl argu passion for about them act on them me,positive
11354,user_ment amber fantast news we will reunit with barbara and jenel on novemb when teen mom premier,positive
3309,i need anoth viv necklac may buy myself one for valentin day nojok,neutral
14663,in the bathroom bump in crunk ass hell like my time hear it thi song will never get old lol,positive
3467,just got ticket to see muse in florida combin with the grammi two week equal a realli busi februari for rubi and myself,neutral
2232,welcom nick j in manila so excit for the show on friday,positive
14131,battl for the banner royal rumbl basketbal edit,neutral
9229,no matter what anyon say ray lewi may be the best defens player to ever play the game he got heart and he got anger,positive
7178,album out grammi bmi award reign entertain of the year acm,positive
10817,smooch from fido yea or nay juli wa intern kiss day of the human sort later in the ca url,neutral
9385,midnight on the east coast which mean it user_ment birthday happi birthday nick j emo_po,positive
1428,appl ceo apolog for errorridden new map app appl ceo tim cook apolog friday for the errorridden new mobil map,negative
11873,monta elli elli provid just five point on shoot thursday url nba playersnew,neutral
4243,when i teach a basketbal in my own gonna spend the day watch larri bird the rest will take care of itself,neutral
8259,offer free cloud storag for io and android on thursday announc a new servic it call locker th url,neutral
11039,we are here user_ment for our anniversari celebr you still have time to make it s king dr,positive
1725,user_ment i told you shane would get hi on rival befor sign day user_ment,neutral
4588,user_ment mitch are you free on sunday to bale leav for an hour if not no big deal you can have them for anim,neutral
12353,user_ment user_ment user_ment user_ment user_ment me heart will i need some new about album,neutral
15877,love how i skip everi categori of the besid the soap give half a fuck if everyth els went off the air tomorrow,positive
14992,user_ment user_ment wa in on sat and they onli had the ray lewi home jersey they have a lot either,negative
14076,new york giant gamebygam predict for the half of the season url,neutral
12733,doe sound like we will rock you somehow,neutral
4254,mash out to in in the club while in pari as clich as it may sound weouther,neutral
2895,pick the chelsea team to play swansea focu now turn back to the premier leagu and on saturday we make url,neutral
14049,user_ment i just had a look and it seem nash to davo is a done deal along with joe thornton i may have to pay a visit,neutral
4071,my mom just text me remind me that grammi birthday tomorrow how could i ever forget biggestdayoftheyear,positive
14686,user_ment wow also a perci jackson fan emo_po the book of hero of olympu will be entitl of user_ment,positive
5527,esper will be without star player youssef msakni for the first leg of the champion leagu final against al ahli on saturday africa,negative
13506,user_ment the sun paolo di canio say beat aston villa tonight would be like have sex with madonna legend,negative
15966,i am not a fan of dream high and i even watch it i watch the where i heard that,negative
11926,black histori fact marsali is the and onli artist to win both classic and jazz grammi award in one and to repeat the next yr,positive
13226,watch david letterman with no audienc but play like they are still there is the most brilliant thing seen tonight,positive
13144,gov mitch daniel will announc hi indiana suprem court pick at a.m will the time be the charm for a femal member of the panel,neutral
8102,goodnight everyon talk to you all tomorrow d i shall leav you with harri style a url,neutral
13894,most common night to order pizza jan day befor super bowl halloween url,neutral
4415,the grey and yellow gold wed puzzl is now up with the first piec be a uniqu twoton dress by user_ment url,positive
10231,listen to kendrick lamar i even want to get a hair cut tomorrow,negative
14685,harakah iran armi monitor all ship in gulf oct a senior command of the islam revolut gu url,neutral
12958,ht norwich spur edg the half without creat ani clear cut chanc had a coupl of decent long rang effort,neutral
11362,the marijuana law in and washington can pass thi tuesday highhop,positive
3893,won the best pop instrument perform at the grammi award,positive
1933,is go to play joe paterno thi is the time he ha star in a that ha the line hello to my littl snl,neutral
13606,not wear make up to dublin tomorrow until get readi for the parti help,negative
320,snow may fall for part of cni the next few day find out where the best chanc will be at am on tv onlin url,neutral
9549,it seem like austin river is tryin to had to get a bucket i feel em tho my game in the leagu i wa tri hard too,neutral
9649,cofield draw leadoff walk in top zaharion at the plate,neutral
9192,user_ment aww my celebr day is thi thursday go as jennif hudson though emo_po,neutral
8031,user_ment i miss you and i better get a juge kiss and hug tomorrow night becaus you will be at emo_po,positive
5738,took me ten click to figur out where to earli vote in colorado that site say what you need to bring user_ment,negative
5648,sat down to watch michael jackson thi is it on dvd xx,neutral
2543,on the set of the axi of the nigerian air everi tuesday on nta intern dstv url,neutral
3146,text from my dad like charl obv look at my amazon wish list too late for sunday whi th surpris,positive
13888,upset alert in acc soccer maryland down to wake forest late in the and down a man after an earlier red card,negative
14573,realli bore of thi host on super sunday do noth but talk and rave about man utd biasprick,negative
9515,i may have miss out see noel field and rich fulcher but i did just see tom tilley samsimmon,neutral
4841,thank in germani now and come home in januari still danger though,negative
1231,looper wa amaz now to the theatr to see simon mysteri of charl love my wednesday off work emo_po,positive
2420,if an octob then happi day to your folk they have an annual memori,positive
12154,negro and all who would like to attend the rocki concert on novemb at starland lemm know ticket are onli,neutral
5561,wish maddi luck next she ha a solo audit for got talent emo_po elli xx,positive
1434,nfl victor cruz went public thi month with hi desir for a new contract on the giant rec url footbal,neutral
12434,of joe pa mask at penn state sat or will psu by allow then in the stadium is it bad to wear it user_ment,neutral
4977,user_ment crazi more jealou of u go to joe grave i wa sad saturday when i walk past where the statu should be emo_neg,negative
15958,mizzou commemor it win over kentucki with a tshirt realli dr saturday yahoo sport url fb,positive
13252,who should the rock face for the wwe titl at the royal rumbl i just vote rockpunk would be a to see,neutral
400,user_ment lol that wa our onli year we may have had a chanc at the superbowl now we must wait until nick foley,neutral
9760,user_ment think a bolt action may have to be in the card for day or someth,neutral
14338,happi day user_ment everyday is the,positive
11980,i have to finish read paterno by tomorrow so i can watch footbal sunday and monday and prepar for the nba2k13 releas,neutral
3936,user_ment it may be indian time tonit becki emo_po xx,neutral
12840,just watch the campaign with will ferrel and zack galafianaki good fun for a wednesday hilari,positive
8230,user_ment season end with superbowl in first week of februari,neutral
14011,user_ment your review remind me i still need read the veri perci jackson book hero of olympu is an offshoot seri from it,neutral
2411,crazi i wa in a meet with an old nba player that wa pick befor larri bird,neutral
12205,thi sunday new york giant are go down steeler,negative
5398,as an introduct to literatur we wrote about the woman in not someth i particulalri want to may just cri shitmyself,negative
10000,user_ment i the other new is in northern light i get pay tomorrow,neutral
3430,just finish rehears with user_ment we are readi for the kendrick lamar show shout out to wvu url,neutral
3790,i post photo on facebook in the album sunday wid shobhit bhatia url,neutral
1910,i been watch everi wed and it ha been make me like these young dude on kentucki,neutral
14347,j all and on my powder puff pant look like gonna be a stud tomorrow under the light user_ment user_ment,positive
12677,roy just go a bigger embarass than capello and mcclaren url,negative
5571,black friday deal nikon d3200 megapixel digit slr camera with nikkor vr black nikon url,neutral
3366,han mon dieu le remix de i am the best dan dream high je meur xdd,positive
11467,you do not want to miss thi tomorrow night rj is move to maryland and we have a truli epic set plan url,neutral
788,forget mitch daniel is go to be on steven show thursday think thi will come up as a topic,neutral
5752,mane i gotta see that denzel movi tomorrow shit look like it gone be a good im go to tri to go tomorrow,positive
10702,user_ment i would think you would do that if you are run for potu it may be part of your job someday,neutral
8449,grammi and caleb go freeport tomorrow,neutral
6140,user_ment but how you gon handl it if you are announc on super bowl sunday you might put that gold back in yo grill,neutral
11498,user_ment i have plan to go to cv befor work today and get someth that may be what i get go to quarantin myself today,neutral
6623,iphon appl ceo pledg to improv new map app appl ceo tim cook apolog on friday for the er url,neutral
3231,full you can read more if you have your sun sign in aqua or pisc url,neutral
1558,drew peterson may be but there is still conflict go on url whenwillitend localnew chicago,neutral
12735,user_ment paterno wouldnt be charg all hearsay on him and he did do hi job minim as may be he report it rest is specul,neutral
4085,with all franki feel like a forgotten stepchild let him so he know we will never forget place,negative
2527,protest clash at republ day march in turkey on a day mark the anniversari of the found url,negative
7215,i will be particip in a hangout with user_ment tomorrow super excit check it out url,positive
11755,user_ment whi do you think murray may leav no way a team draft him befor the or round,negative
12903,aww love you austin river and happi to see you get start in nba game but against my let go spur spur nba,positive
5900,user_ment paid a few quid for a jim white record if i recal correctli but not in the biz so i may well be miss the point,neutral
10232,user_ment mine person think tebow is better then flacco i care how bad he play sunday,positive
8140,user_ment user_ment anoth center gagner is a good cheap line option that we can afford and keep the kid,positive
4975,user_ment still shake my head at that decis and that the heat knick are actual play tomorrow at msg,negative
451,the glass may be but not get ani warmer lago del argentina url,negative
3896,wish i could make that trip to athen on tuesday user_ment,positive
5822,appl retail chief out in overhaul san francisco reuter appl inc ceo tim cook on monday push out the power hea,neutral
5081,i want to watch the grey for the time,positive
10408,capello say time for russia to win big match russia manag fabio capello on thursday said that he intend to url,neutral
1148,host the day parti spartacu friday from and then spi in raleigh that night,neutral
8444,man hope the giant can uplift the spirit of the million affect by sandi in ny with their game against the steeler on,neutral
15600,user_ment the mccormick place rite here by the hyatt hotel on like nd king dr,neutral
14671,fabio capello what seen these day i can assur you russia are capabl of get a good result vs portug cantwait,positive
4435,user_ment not necessarili in nevada it may help obama becaus it one less vote for romney but i know what you mean hah,neutral
12010,leonard steal thunder nineti minut befor tipoff thursday night at the oklahoma ci url,negative
6041,user_ment i realli do hope they finish the trade by tuesday or wednesday gagner is a real solid player and could help the sabr,positive
438,after watch the campaign again i have realiz that step brother is still the funniest will ferrel movi but thi one is in place,positive
180,user_ment on the plane to amsterdam bet not in class tomorrow,neutral
12572,user_ment i realli wanna go to one of hi thing did you watch hi new thing on channel last friday xx,positive
15678,i may be the onli girl on the face of the earth that find chan tatum attract callmecrazi justsayin donthatem,negative
11624,obama may have been better off stay person glad back on the trail help move peopl to mitt,positive
14999,cold pizza and mass effect i want my leg heal go to look up some voodoo shit be jump and run tomorrow,neutral
13697,rememb cupid at convo last year with the bomb candi bar if you like love next tr url,positive
5612,on novemb my and my sister are go to see dawn part judgeu,neutral
6347,chan tatum will be in white oak tomorrow for all you stalker out there,neutral
5545,user_ment i fli that saturday the from detroit to amsterdam then up to newcastl,neutral
11604,my dad the builder are talk about citi and it turn out the builder is sat the row behind me at the aston villa fuck sake,negative
4359,game play dure the week are now more interest than super sunday,positive
9950,hulu video game trailer launch trailer check out the launch trailer for mass effect ad fri oct url,neutral
5988,user_ment user_ment user_ment user_ment watch cougar town over thi ani day januari on tb veri funni firedooley,positive
5524,staci just hit me up and said my packag might be up here tomorrow if the case not go to the rave in san fran prioriti,negative
2888,of cours aston villa play them off the park on saturday bring it on,neutral
1500,user_ment match cofield in sack thi is onli the preseason game so see,neutral
544,give me min with candi the dancer from deja vu nut on my pump she that bad lol,negative
3490,kevin hart show at msg on novemb is go to be beauti,positive
2873,user_ment do you know they may not but so fond of all the countri republ day,positive
5007,user_ment cof someon is go to germani on novemb oh i realli envi you emo_po url,positive
5934,thank you snow for cancel class today now you may stop so that i can drive to chapel hill tomorrow realli appreci it,positive
637,chick in my class said flacco is the best qb in the leagu whi is a chick talkin footbal i cant wait for class tomorrow lol,positive
12915,entrepreneur angelinvestor pitch in on the new birthday parti super bowl sunday treat url,positive
5538,oilersmobil juli sam gagner url user_ment nice to have you there for at least anoth year,positive
2380,think i might go see flight tomorrow just becaus denzel washington,positive
8229,moham press brief about coni report aug url via user_ment,neutral
6978,i wish the best of luck to the boro footbal player and hope they kick butt saturday for shaun winitforshaun,positive
9325,call all realiti tv fan invit li realiti tv star to join a hangout on sunday and you can too url,neutral
882,honesti is often best polici fabio russia coach wa hope injuri wa more seriou so he play,negative
4324,besti we gotta go see with denzel come out friday seem so good user_ment,positive
11692,i know what will be do on novemb but be in a hangout with jordi nelson squee,neutral
15617,dinner in athen with my user_ment prepar for our game on user_ment thi saturday olemiss georgia url,neutral
13403,user_ment emo_po most i think when you come tomorrow the boy will be here,positive
14513,thi is austin river game and peopl suck him he a rooki chill,negative
8205,user_ment hello may i ask how did you get on set of castl,neutral
12349,throwback thursday daddi and joe pa rip in my still the most winningest coach in colleg footbal url,positive
13414,user_ment user_ment agent say talk will have hear on friday if no msm just prove clueless,negative
14608,im enjoy celebr juic instead of go to be fook tomorrow though,positive
1973,the woman in black the legendari ghost tour to dubai and abu dhabi in novemb decemb more url,positive
7902,can it pleas be wednesday and potu ha been re elect then we can move thi countri forward,neutral
3090,jacksonvil realli sound like the move tomorrow,neutral
6938,asimplelif open tomorrow at in san fran roger ebert call it of the best url,neutral
6534,user_ment user_ment noo mayb you can just look over it right befor the test tomorrow and do that first,negative
10777,hcafc loan keeper ben amo name in the england under21 side to face azerbaijan next thursday and norway on sept,neutral
4521,norv turner call a play action pass on goal at the halfyard river throw a pick charger,neutral
4200,celebr juic best thing on about a thursday,positive
10526,user_ment user_ment user_ment my friend and i are bet joe wet hi pant when he see the whop mitten will get nov,neutral
4815,user_ment wahe propos mdp to join the gov prior verdict feb controversi power transfer refrain mdp join the govt,negative
680,me and user_ment book in to see a good day to die hard on februari day,neutral
14284,franki i think gonna have a date with my bed tomorrow me my boy,positive
2844,pray for moham morsi the new presid of egypt that he may continu to be a leader for freedom and peac url,positive
6000,i may spend a lot of my free time ride on random elev hope for a chanc encount with bill murray,positive
11272,wvu goe for it on everi down is our kicker worst than cundiff,negative
709,user_ment wa it becki caus she told me about it figur it out tomorrow,neutral
7802,axl rose need to just give up now not not not tomorrow now,negative
14107,dr moham morsi announc as elect presid after the gloriou of jan revolut congratul to egypt emo_po,positive
14027,shout out to my boy user_ment who fight tomorrow night on the la vega rfa card put in the work so i need to wish him luck,positive
10480,user_ment dec i know so far and near the end of sagittariu but a full blown sag girl emo_po lol,positive
13290,if on the isl of man next be talk about safe hous and sign book at waterston from user_ment,neutral
6774,pbr user_ment bring you jim white at the user_ment loung on octob at pm url,neutral
1241,happi halloween start thi wick wednesday off listen to pink floyd and leonard cohen get to take my boy out tonight yay,positive
8949,i wonder what cortes is think after watch that half of total wank as for boruc you are a disgrac and a complet twat saintsfc,negative
610,sad i get to see user_ment on the challeng battl of the season tonight emo_neg i guess have to wait until next wednesday,negative
13254,austin river need to get spur guard muscl him tonight he start and just now score in hornet,negative
14407,juli nation milk chocol day you might say milk chocol is the star of the chocol cont url,neutral
7381,on sunday novemb olympu expert will be on hand at the curri store in cambridg from until url,neutral
7854,happi valentin day emo_po onli if you live in otherwis it just anoth irrit monday,positive
3556,okay me and user_ment are about to watch the woman in black thi may be a terribl night,negative
15666,user_ment saturday i buy my ticket for the tmhtour in belgium so happi,positive
10082,thi goe way too fast o it been alreadi a year that i saw avril lavign in concert emo_po octob one of the best day of my life d,positive
12532,heh i just rememb i forgot to watch jonathan ross guess watch it tomorrow i wa watch anoth show and forgot schmeh,neutral
8820,gambl on chocol day as a success theme day at work turn out chdn do like chocol wed is gross day hope kid like gross stuff,positive
3046,harri redknapp is set to hold talk over the blackburn job on tuesday as he prepar for a return to manag mail,neutral
15863,user_ment go to the bell game tomorrow take you for a littll whippa,neutral
677,if you fanci join in our a to z tour of the world food of come sampl taiwan on thursday url,positive
14737,so mani choic of gig thi saturday night the ibb at the rugbi club which there are two up twmpath and url,neutral
858,user_ment how doe it compar to diablo ii regardless of how fair that comparison may be,neutral
6820,mani contin wa the challeng film what did you fail grade,negative
9627,user_ment were go to be at boy and girl club to clean tomorrow at they told us to bring boot and glove all are welcom,positive
3486,last hectic day in offic b4 week in asia to ifeat in singapor then china.then wk of jet to me everi time,neutral
13561,david letterman had an interest show on monday he is locat in new york citi becaus of the hurrican he url,positive
14137,anonym ask just realiz while watchin friend that the youtub account that upload the video is url,neutral
5965,novemb my birthday elect a weekend in san fran with user_ment napl for lot of friend famili ye,positive
8108,user_ment i got an email remind from nikon about thi saturday event if no go then we will join the photo exhibit launch,neutral
10212,been on tv a few time now still wait for the call from itv about danc on ice though start to think i may be too famou,negative
12732,slap shot back from skate for davo rick nash of the new york ranger return to action in switzerland on tuesday,neutral
4842,wa just a fan when she met funni bc she probali wasnt a fan like she may have known who they were but she a fan,neutral
9851,nikon wait to get it on and shoot tomorrow url,positive
10741,user_ment i hope they make sure to take care of eli giant vs pittsburgh on sunday nfl,positive
877,user_ment they cancel the franki date that wa suppos to be tomorrow so now everyon is go to the reschedul show in south bend,negative
3665,got ticket to see leonard cohen in il on novemb that i use anyon interest face valu is about,neutral
5729,user_ment also manc go on about it wa there team last they put out a decent side see they have afc on sat,neutral
3873,user_ment come on romney i may not be abl to vote from britain but i completley support you good luck,positive
15661,wwe raw should be interest next week the road dogg return to wwe at the royal rumbl and shawn michael is go to be on raw monday,positive
13805,far too stress about finish thi essay for so i shall minimis it and play templ run problemsolv,neutral
8309,did all my homework due in for later thi week instead of the homework due for monday and twat,negative
11065,saturday night live jeopardi skit with will ferrel,neutral
11389,perkin led the leagu for the year in a row in spm scowl per liter laugh out loud,positive
11331,my mufc xi for super sunday de rvp what about you,neutral
14458,eli man best quarter qb in the game,positive
1162,i want a love like jonni and i want a love like blake and miranda,neutral
13607,lin pick up a loos ball and just truck stuckey not to bench with foul as piston reclaim,negative
15035,not sure what im go to be for halloween yet sun shine is just too larri bird is the front runner as of right now,negative
5570,if cundiff made the field goal i been a free sub at subway for lunch,neutral
5717,me person see grammi play afl again still but i think turn to someth els now best of luck with what may be next,positive
3089,i feel do bad my boo asia bday event mayb cancel for thi sunday i wa soo look forward to it,negative
14710,dirti jim had to close that one out if he may have start hear comparison to cundiff in thi town,neutral
10808,after the mid tennesse vs western kentucki i hear gonna play the annual nebraska snail pageant,neutral
4471,sophia grace and rosi wait to see you on ellen tomorrow xx user_ment user_ment user_ment url,positive
8479,go to bullet for my valentin at o2 academi glasgow in unit kingdom mar url,neutral
11688,friday and the soul train is firmli park in pri for the soul show on the perth get your request in for the next hour emo_po,neutral
10592,peopl power travel to egypt to see how the april activist have been fare sinc moham elect,neutral
12171,next tuesday is chocol day with halloween right around the thi is sure to curb your candi crave url,neutral
5335,russel howard good news and celebr juic is on,positive
11158,pretti good thursday night with user_ment if onli river would stop suck so bad qualcomm stadium url,positive
10984,heart is my twat is babi ya ye a glass twat better known as a with a d lol,positive
13201,so good at gambl i just own la vega leav tomorrow morn for a weekend of dog sit and homework not a bad week,positive
5556,on we want you to particip in a live hangout with animalsens next wed at url,neutral
7750,i can not chang yesterday i can onli make the most to and look with hope toward tomorrow anonym,negative
15188,had a wonder workshop on thursday at sag offic with carol nadel of select cast she is such a url,positive
