,text_clean,sentiment
106,week nike use money earn slave labor pay whini athlet supposedli protest social justic kim kardashian anoth white hous meet in effort enact polici chang in crimin justic see differ justdoit,negative
107,school shoot thought prayer oh but protest brown guy… nike justdoit,negative
108,exactli justdoit,neutral
109,can’t figur next step take one valencia live 🤔😉 justdoit motiv fridaymotiv fridayfeel blessednotstress,neutral
110,basic justdoit nike,neutral
111,love thank justdoit,positive
112,want run ad fox friend hanniti watch presid shit justdoit nike,negative
113,love everyon made apart latest nike campaign justdoit,positive
114,great morn belliev give someth talk today standard inspir zeal not comfort nike justdoit gain fit bodybuild friday health…,positive
115,imma leav nike justdoit,neutral
116,in tear respons gold justdoit,neutral
117,make pictur justdoit,neutral
118,nike like us freedom express belief justdoit democraci like mani ventur in life take chanc gain other principl chanc will take shouldn’t chastis reap sow,neutral
119,well aren’t monarch but sure grass stain justdoit,neutral
120,send major shout friend amp work power new dreamcrazi campaign feat spot showcas power filmmak amp advertis tremend impact make justdoit,positive
121,but hey keep burn shoe loss nike gain justdoit,negative
122,keep say neg stuff nike you’r push stock back continu justdoit stock surpass it’ time high,negative
123,make sure nike justdoit ✔️,positive
124,remind you’r head corinth tonight footbal consid come watch girl hockey take tomahawk jv game follow game take place behind corinth elementari school hope see justdoit,neutral
125,salut justdoit human be burn bike alreadi paid couldn’t donat shoe don’t even know shoe burnyournik ridicul movement ever,negative
126,end year friendship caucasian acquaint tire hear nike ad race black peopl protest equal solut cross burn lynch black men in justdoit,negative
127,dem candid texa commission agricultur believ in someth even mean democrat in neighborhood justvot justdoit uniteblu voteblu gotv turntexasblu fliptxblu theresist,negative
128,don’t ask you’r dream crazi ask they’r crazi enough justdoit,negative
129,no good see troubl colinkaepernick start takeakne bs peopl want prais diss better way protest disrespect nation nike nikeboycott boycottnik nikead justdoit nfl kaepernick,negative
130,i’m gonna start buy sneaker nike justdoit kansa citi missouri,neutral
131,smooth write draw page call name order custom handcraft journal fridayfeel fridaymotiv handcraft custom journal etsysel writer justdoit giftidea birthday backtoschool support,negative
132,let’ go team love continu win ❤️ ⁦⁩ justdoit,positive
133,campaign brilliant read card charg vote confirm kavanaugh small price pay right potenti wrong justdoit,negative
134,feel compel takeakne drown thedog whistl focu make sure you’r therightsid thetrack amp justdoit amp let not theblood sweat amp tear ancestri putsham let labor vain labor love,positive
135,obvious nike think brilliant unlik incabl thought understand take knee mean american love nike justdoit,positive
136,yust nikead mexicanproblem latino nike kaepernick justdoit immigr borderpatrol,negative
137,russia realli could care talk hand elect in fact less tweet speak better btw watch movi allthepresidentsmen late justdoit,negative
138,think great in everi singl one someth incap comprehend bad justdoit 👊💙🇺🇸💙👊🦋,negative
139,adopt homeless pet even mean sacrif everi shoe justdoit adoptdontshop,negative
140,still got white amp navi blue one in basement okay lmfao nike justdoit,positive
141,year ago but work well today lol nike justdoit,positive
142,😂😂 justdoit nba beat join,neutral
143,lock jamz wi dhat babi justdoit,neutral
144,dream crazi brandnew market campaign video bring messag ask dream crazi ask crazi enough justdoit sport nike brand ad tv advert digit sport inspir youcandoit dreambig,neutral
145,watch golf unemploy wannab walk around talk justdoit neededajob,neutral
146,justdoit wow guy 😭😭,positive
147,next footi boot would nike time advertis ya justdoit,neutral
148,justdoit takeakne nike clearanc store,neutral
149,justdoit onejob stream everywher,neutral
150,justdoit 😂😂,neutral
151,great requir sacrific savag sacrafic justdoit✔️,positive
152,istandwithic justdoit bringiton maga americafirst illegalalien crimin buildthatwallnow buildthewal secureourbord borderpatrol waityourturn vote red kag,neutral
153,hey check one picasso nike homag brand artistquot justdoit artiseverywher relaxitsjustart jointhecultur reddotcultur,neutral
154,impeach justdoit,neutral
155,nike put ad would not boycot nike boycottnik justdoit,negative
156,miss 😂😂 justdoit,negative
157,never stop move don’t ask dream crazi ask they’r crazi enough believ in someth even mean sacrif everyth justdoit dreamer nike nrc…,negative
158,seem thing post black white portrait gotta stand someth can’t drink day don’t start in morn justdoit,negative
159,i’m sure spot in ring soon listen eandcpodcastofawesom i’m even inspir justdoit woman amaz 🙌🏽🙌🏽🙌🏽🙌🏽🙌🏽❤️❤️❤️❤️❤️❤️day fan ride way,positive
160,justdoit nike dalla go climb climb high peac,negative
161,ppl realli think care stop buy trust believ ppl buy nike know bought two nike product week buy next week justdoit fortheidoit,negative
162,nfl legend peyton man tell joe rogan beer pot pizza justdoit nfl fist beat women,positive
163,ask dream crazi ask crazi enough isupportkap justdoit,negative
164,call dream “crazy” it’ not insult it’ compliment justdoit,negative
165,bring attent plight fulli support nike buy even product get million young peopl stand right side histori reasonoverideolog justdoit nike,negative
166,go right side histori love new nike btw justdoit,positive
167,opposit racism continu demonstr everyday thank justdoit,positive
168,kneel believ in justdoit believeinsomethingevenifitmeanssacrificingeveryth nike signofrespect blacklivesmatt yourprivilegeisshow checkyourprivileg hike…,neutral
169,sacrif enough justdoit,negative
170,topic come episod ask amp nike justdoit campaign collus case trade hold amp earli sblii predict come in less hour podernfamili,positive
171,dream crazi brandnew market campaign video bring messag ask dream crazi ask crazi enough justdoit sport nike brand ad tv advert digit sport inspir youcandoit dreambig,neutral
172,“effort grossli underr effort work justdoit,neutral
173,hey spend less million in advertis pay extra million athlet alreadi millionair “support cause” start pay better give better condit factori worker in asia justdoit yoaquipendandoenvozalta,positive
174,order veggi bowl food prepar ask kinda meat want nevermind iwalkedout justdoit,positive
175,tae slayi queen nicki hair justdoit,neutral
176,✔️ tiggz album everywher go get nike kap tiggz tiggzthealbum everywher justdoit,neutral
177,peopl keep talk go get nike stuff find pair kick like bro that’ wear sinc birth it’ wardrob alreadi 🤷🏽‍♀️🤷🏾‍♂️ lol i’ll say welcom famili justdoit,positive
178,break walter reed armi hospit chang name tit us makingwomenlooklikestormi sinc medicareforal trump theresist veteran justdoit,negative
179,color friend think i’m 🤣😂😂🤣🤣😂 justdoit wearingmynik shootemup elm fork shoot sport,neutral
180,text privat post justdoit,neutral
181,friday morn run sun music road freedom justdoit fitbit beat run,positive
182,collus no problem solut justdoit rest in peac old man woodstock pizza sdsu,negative
183,presid sweet men associ still dey look applic sweetmen writer songwrit musicianlif recordlabel recordingartist afrobeat justdoit alaafrica alaafricamus liveforev album nobadsongsev,positive
184,support muslim athlet support black athlet support physic challeng athlet support lgbtqia athlet support justdoit,negative
185,nail well done justdoit,positive
186,america american justdoit,negative
187,actual i’d rather not tell justdoit,negative
188,um wrong no patriot person understand speak injustic patriot love flag nation anthem kneel make sure stand upheld justdoit,negative
189,here’ “behind scenes” view give new mean justdoit,neutral
190,justdoit post show real hero love american militari pray play hero,positive
191,put nike kid got door knock teamabram justdoit allthedamndoor,positive
192,need justdoit,neutral
193,speak world headquart yesterday wife front row justdoit nike believeinsometh,neutral
194,it’ crazi 🙏🏼 justdoit,negative
195,danc justdoit justdanc dancelif dancepir inspir danceanyway danc balletlif ballet bunhead jazzdanc tapdanc hiphopd danceimprov dancemood choreo choreographi nolimit nofear fearless dancemor dancenow,positive
196,shit think tri make america great justdoit 🙄impeach nigga alreadi,negative
197,septemb th “interest free” newmus fridaymotiv justdoit album westcoast nyc vancouv,positive
198,boycott justdoit,neutral
199,“omg woo love woo fridayfeel bigfact justdoit uapb retweet share listenbett quot purego teamfollowback waitonit uapb naturalwoman afro,positive
200,passion in love justdoit brandjobba basketballneverdi itsjustdiffer chicago illinoi,positive
201,deep justdoit shouldbeinjail,neutral
202,someth love peopl love in cloth love 🙃✊🙏 mediale wdbr crg shstrack nikeheadtoto justdoit doitforkaep,positive
203,mr presid not hire polic depart peopl without give lie detector test justdoit pleas peopl need safe amen maga,negative
204,call other benefit dollar ask make clear stand justdoit say econom buy power impact compani decis complaint,neutral
205,polic brutal nike awar but not doesn’t care justdoit impeachtrump,negative
206,lot think assur justdoit,neutral
207,thank made teari justdoit,positive
208,that takethekne justdoit,positive
209,take ’s nike challeng justdoit,neutral
210,internet undef nike justdoit✔️ joke sketcher lol lmfao rkelli staten island new york,neutral
211,proud ya keep face chang nike justdoit justic,positive
212,creakhead power finest justdoit,positive
213,month ago weigh in well know not fat boy bullshit😂😂 today oct back rang push up five minut ab work wear nike justdoit fit,negative
214,protest nike talk major corpor side kaepernick ya know nike make usgi combat boot militari troop right justdoit nike boycottnik fakepatriot burnnik swoosh kaepernick sacrific militari,negative
215,ye pleas today would good day impeach justdoit,positive
216,resigntrump go ahead justdoit see donni,neutral
217,nike air kaepernick ad nfl open catch ad see wrko nfl kaepernick justdoit nike,neutral
218,justdoit follow social media creator artist design design upscal art wearableart,neutral
219,ignor enough prais colinkaepernick rather dumb takeakne stanc better way protest disrespect countri nike nikeboycott boycottnik nikead justdoit nfl kaepernick maga kag kag kag maga maga,negative
220,botblock therapeut justdoit,neutral
221,boom 💥💯 kamikaz justdoit,neutral
222,weekend motiv ask dream crazi ask crazi enough justdoit check full video youtub great motiv sound…,positive
223,believ in someth even mean sacrif everi motherfuck in jungl nike justdoit predat,negative
224,rude hurt case jaguar giant jaguarstoday jaguarsvsgi nfl nflkickoff justdoit let make happen,negative
225,hola read thread peopl cut swoosh cloth burn nike gear pledg boycott compani ot nike justdoit good day,positive
226,nikead colinkaepernick justdoit stoprac i’m impress nike stand racial crime bad thing i’m niker life,negative
227,love hypocrisi right worri make maga shit in china bill worri make shit in china go hell o’ riley hy·poc·ri·si fucktrump nike justdoit kaepernick,negative
228,clear cut winner justdoit meme,neutral
229,hope alex jone see tweet lol justdoit,positive
230,trump ask nike think answer you’r racist jerk miss point whole “take knee” movement promot racial justic not intend disrespect us serv countri not btw impeachtrump justdoit,negative
231,it’ friday nevergiveup keepgo bestrong lovey behappi happi justdoit workout feelgood train train trainhard dailygrind fit fit fitnessmotiv fitat fitov fitforlif fitnessgirl fitmom getfit fitnessjourney fitnessgo,positive
232,nike attent year anniversari campaign say dream crazi ad may nike best time justdoit nikead nike,positive
233,don’t believ like somebodi somebodi justdoit,negative
234,best one yet justdoit,positive
235,vote straight tuesday nov can’t wast vote democrat lie snake in grass communist justdoit,neutral
236,grandson hope someth child small not guess buy hold kaepernick justdoit,negative
237,roll justdoit,positive
238,ooh obama get readi give speech word talk trump it’ time barack justdoit,negative
239,i’v learn anyth nikekapad sens humor earn direct ticket hell justdoit dreamcrazi memesforday,positive
240,either push rock push rock wick shot justdoit,negative
241,you’r welcom justdoit nike,positive
242,open mic perform “real recogn real” last night good time ybm justdoit dowhatmakesyouhappi ybm,positive
243,young gift black awesom photo justdoit,positive
244,hey it’ anonym dumbass uh nah nim us quit alreadi embarrass countri alreadi anonym justdoit,negative
245,smfh peopl think colin kaepernick ran job in nfl declin in play abil use precis stat dont tell entir statist stori player better justdoit watch tape,negative
246,news broke week would becom new face justdoit campaign mani taken surpris prof simon darnel give take mean kaepernick nike,neutral
247,total own new kapernik campaign epic market burn justdoit fire safeti messag next level market,positive
248,sad shoe compani moral us presid justdoit imwithkaep nike,negative
249,someth us everyon differ famili oblig work commit person health issu big tent everyon serv in way pick action justdoit,negative
250,get ton colleg applic fill in crayon nikeboycott justdoit kaepernick maga,neutral
251,buy shoe buy stock thelifeengin investlikealadi livelikeaboss justdoit yesterday purchas nike stock children amp nephew teach ownership,neutral
252,show us nike get justdoit,neutral
253,obvious not justdoit,negative
254,miss zirin monday convers around sport polit well nike justdoit,negative
255,homeless support kaepernick’ protest want countri focu take care veteran justdoit supportkaepernick supportveteran,negative
256,we’v seen real fact ain’t pretti time go dondon justdoit,positive
257,want birthday new didn’t burn old one worn justdoit septemb,positive
258,believ anonym go public testifi need trump impeach otherwis forc resign believ writer would realli want save america trump justdoit thamemdmentnow trumpresign,negative
259,i’m guy but i’ll sport justdoit shirt proudli ppl problem racistaf i’m glad show us danger,negative
260,mexico pay wall justdoit,neutral
261,one best ad sport relat busi ever said reaction gener public market not favour share justdoit nike,positive
262,oreo milkshak cake one awesom custom today thank appreci oreo oreomilkshak yummi myw winstonsalem clemmon bakedfromscratch mompreneur eat justdoit lei lei cuisin,positive
263,guess could make argument racist angri white peopl aren’t ridicul hate new ad campaign but burn shoe no shame justdoit nikeforev takemymoney,negative
264,demean belittl wake dude resign justdoit,negative
265,exceed doubter’ expect exceed justdoit jusdweet,negative
266,no matter done god still want come take step still justdoit,negative
267,happi next chapter appreci polit passion last coupl year beast thank give live exampl possibl justdoit,positive
268,might want consid buy “share” instead “pair” nike justdoit money financialeduc moneymatt moneymak,neutral
269,wonder american would act black cop shoot innoc white peopl rate exact scenario switch in mind discov empathi justdoit colinkaepernick,negative
270,dream crazi futurego howtomakethisyearawesom nike justdoit criticalthink reflect inspir,positive
271,think racism polic brutal wrong stop also think racist potu put us realli slipperi slope think need justdoit get merri band crimin wh,negative
272,oh mental follow wannab dictat it’ got given scientif name crazytown justdoit nut,neutral
273,colin kaepern style emopo kaepernick teamnik justdoit iger explor porstudio,neutral
274,old abba ask necessari save sit make rope without glanc said “you’r look justdoit,negative
275,hoodi tribut trayvonmartin blacklivesmatt blm injustic civilright hoodiesup handsup icantbreath colinkaepernick nfl nationalanthem nflprotest nike imwithhim justdoit imwithkap notabouttheflag,positive
276,justdoit nike’ stanc social justice”,neutral
277,michael scott face nike justdoit thatswhatshesaid,neutral
278,take confeder boot burn justdoit,neutral
279,flashbackfriday jobsreport nike got justdoit fema campaign verizon spiderman kaepernicknikead slaveryremembranceday burgess herdsmen musk tesla airway kday falcon blackpink middayoasi theplacerestaur nationalbeerloversday love,positive
280,futur transport everyth mean everyth constant work in progress mhealth concern live fulfil life whateverittak get outsid pumpthejuic justdoit irewardhealth healthiswealth,negative
281,take clear stanc racial injustic grow busi stock today nike justdoit imwithkap fridayfeel,positive
282,probabl think justdoit,negative
283,colin kaepernick nike commerci full video via nike justdoit,neutral
284,focu wacki trump threat constitut let comedian like make fun report get offic 👊🇺🇸 justdoit impeachtrump amendmentnow,neutral
285,trump support show respect old glori yeah awesom embodi takeakne justdoit vetskneelbecaus vetsagainsttrump vetsresistsquadron veteransforkaepernick,positive
286,nike billboard concept exploit th amp ain’t damn thing bet bottom dollar justdoit,negative
287,impact world one soul time love god love peopl justdoit newlifeoakland,positive
288,unpopular opinion colin kaepernick noth wrong justdoit,negative
289,dickinabox giftthatkeepsongiv saturdaynightl googl entir video tube justdoit,neutral
290,find advic aspir teacher “how avoid year burn out” dupealeru educ author speaker internationalauthor eachoneteachon hflmag teachertip nike kapepernick justdoit,neutral
291,man bet nike regret wish conserv hadn’t burnt shoe they’v alreadi bought justdoit,positive
292,buy nike swag today in support justdoit,positive
293,don’t ascrib motiv know true mean pick side kapernick nike justdoit nfl,neutral
294,nike presid nike justdoit,neutral
295,want travel chang world way last chanc appli winston churchil fellowship monday th septemb wcmt travel suicideprevent adventur giveback fellowship justdoit studi,neutral
296,peopl burn nike still wear took whole justdoit thing littl serious say,negative
297,support nike nike justdoit,positive
298,year ago start work great compani nike justdoit swoosh pottstown store yearanniversari nike,positive
299,stop scream social media sit ass get someth whatev passion like say justdoit,negative
300,editori in sept weeklypress ‘s decis use face campaign wise one confront socialinjustic opinion nike justdoit easthant fallrivern,neutral
301,believ in nike chicago life lifstyl summer trend complet brand focu justdoit revolut iphonex manualtransmiss caus rebel niketown chicago,neutral
302,mhm sir i’ll wait lol justdoit,positive
303,much shereadi nike justdoit✔️ kingdom wakanda,neutral
304,realli one follow advic justdoit cc,negative
305,colin kaepernick platform speak cannot peopl obsess symbol metaphor use gain attent instead messag behind open ear mind justlisten justdoit,negative
306,need new workout shoe bought justdoit,neutral
307,“believ in someth even mean sacrif everyth colinkapernick lebronjam corybook justdoit spend leftov fund oppon buy,negative
308,justdoit could least match style ad…,neutral
309,one greatest secondary’ year but second string ball fuck us justdoit bring back in game,negative
310,even music justdoit,neutral
311,fyi never forget head execut branch not need anyone’ approv replac appoint special prosecutor made known he’d will make sure real justic remov corrupt actor driven greed justdoit 🇺🇸,positive
312,wtf peopl like gillum socialist dem cannot progress due dig yr in past paint everyon racist use black peopl physic slaveri mental slaveri never chang justdoit,negative
313,anoth field day roll product vibe market advertis busi agenc consult onlin creativ townhal busi product campaign mobil creativedirector produc usa nyc entrepreneurship goal followfollow agencylif justdoit,positive
314,bet caus havoc in boycottnik side thing flag nike justdoit kaepernick,positive
315,part buy air jordan nike nikeboycott justdoit,neutral
316,govegan vegan plantbaseddiet plantbas vegansofig vegansofinstagram veget veggi justdoit meatless dairyfre healthi healthyeat cleaneat fat,neutral
317,intrigu but wish see claim true not footbal nfl boycottnik sport nike mistermetokur justdoit colinkapernick sacrific sacrificeeveryth controversi,negative
318,ever think goal child get disappoint in like use imagin grow marri didn’t fight hard enough dream dreambig justdoit nerdgirl evenasakid,negative
319,geoffreyowen new dawn new day new life yeah new dawn new day new life ooh feel good justdoit showtim,positive
320,wanna play justdoit jacsdoit,neutral
321,noth like new leg get look forward next gym session especi next size down🙌🏻 justdoit mumtopt,positive
322,i’m justdoit someon need speak,negative
323,don’t think vote matter not vote us know matter doesn’t matter anyway justdoit help ppl like child keep health care one reason enough care enough need anoth vote registertovot,negative
324,realli peopl protest ever look someon shake head caus whole belief system way but tire correct know way right way colin kneel frustrat much smh justdoit,negative
325,pleas justdoit,positive
326,ask dream crazi ask crazi justdoit,negative
327,sometim gotta knock bitch 💁🏿‍♀️ justdoit nike,negative
328,ron swanson everyth aim in life ronswanson nike justdoit libertarian,positive
329,anyon even know nikeboycott justdoit,neutral
330,idk mayb free speech voic heard kinda found countri idk mayb justdoit,negative
331,hope two day not similar day told hot water tank would take still week hour today plumber still cannot get function justdoit,negative
332,stood team today meet amp went realli well consid gener adress point directli receiv prais team make stand felt like thought need voic someon speak justdoit,negative
333,schedul free consult learn help credit get clean slate justdoit cleanslatecredit creditexpert creditrepair,positive
334,chicago besmart amp make mistak votedem justdoit chicago amp walkaway dem socialist lib economi job freespeech taxcutandjobsact voteredtosaveamerica emanuel exit heat crowd chaotic chicago mayor race,neutral
335,core custom justdoit nike,negative
336,justdoit campaign taught anyth no reason cant endors sinc real athlet requir,negative
337,today not day skip call repres need everyon call get famili friend cowork justdoit stopkavanaugh call junkinsur preexistingcondit,negative
338,internet zero chill nike justdoit✔️ nikememesgonewild yallplaytoomuch burnbabyburn🔥 kingdom wakanda,negative
339,justdoit brave courag stand kneel believ in well done,negative
340,offer premium sc limit number peopl tier year tier year friskyfriday kcco justdoit fridayfeel,neutral
341,rememb guy gal life short not enjoy laugh check season comic watch comic amazon prime get caught season drop emopo justdoit…,positive
342,hi soni spiderman game pc pleas sure make million million extra dollar sound nice load extra money spidermanpc justdoit,neutral
343,justdoit nike supportnik colinkaepernick standforsometh manhattan new york,neutral
344,work in place client call takataka humili okay young soul justdoit,neutral
345,here’ data prove nike’ colin kaepernick ad serious smart market graphicdesign marketingstrategi justdoit,negative
346,nike taken controversi stand make colin kaepernick face new justdoit campaign compani learn bold move thought nike market copywrit content digitalmarket fintech blockchain,neutral
347,yea remind no cap justdoit💪🏾,neutral
348,in case miss last night beauti justdoit,positive
349,kick trump tower make room russian mobster connect putin traitor maga putin russia nflkickoff nike justdoit,negative
350,mayb nfl wake attend rate drop in half justdoit bluelivesmatt supportourtroop,neutral
351,brought old nike shoe shoemak repair justdoit nikeboycott,neutral
352,believ one favorit skateboard start don’t believ like anybodi somebodi skateboard nosid justdoit,negative
353,we’r think justdoit kaepernick nike 💪🏻💪🏼💪💪🏽💪🏾💪🏿,neutral
354,trump alreadi divid countri nike bring peopl togeth support worthwhil caus make money justdoit,negative
355,least get rosie’ chicken you’r justdoit,neutral
356,🏴‍☠️🚫🏈👟🏴‍☠️🚫🏈👟🏴‍☠️🚫🏈👟 commit busi suicid sign kaepernick took stand racist bigot chose america boycottnik justdoit nikeboycott kaepernick 🏴‍☠️🚫🏈👟🏴‍☠️🚫🏈👟🏴‍☠️🚫🏈👟,neutral
357,it’ movement not moment haveyoutriedhim justdoit improvingl getconnect swoosh,negative
